Series Name,Series Code,Country Name,Country Code,2018 [YR2018]
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA only,IDX,32.5193006613426
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,IDA total,IDA,27.1557462826024
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Late-demographic dividend,LTE,26.1895376253429
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & Caribbean,LCN,25.1048276193908
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & Caribbean (excluding high income),LAC,24.2769948738415
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,24.7725802823194
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Least developed countries: UN classification,LDC,30.9092690374288
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Low & middle income,LMY,24.4309019819123
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Low income,LIC,34.6339993441994
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Lower middle income,LMC,29.6433061150652
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa,MEA,35.5875852560026
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa (excluding high income),MNA,31.9043527983713
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,31.6445338244419
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Middle income,MIC,24.2842893153782
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,North America,NAC,16.6348924058711
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Not classified,INX,..
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,OECD members,OED,28.2527608756944
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Other small states,OSS,67.2400475846336
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Pacific island small states,PSS,56.665566153479
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Post-demographic dividend,PST,29.1918474690203
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Pre-demographic dividend,PRE,23.9519330043031
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Small states,SST,65.1852278903
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Asia,SAS,23.4845204173672
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,South Asia (IDA & IBRD),TSA,23.4845204173672
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa,SSF,25.5570730241406
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa (excluding high income),SSA,25.4788752679472
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,25.5570730241406
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,Upper middle income,UMC,22.9291135884474
Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,World,WLD,28.3518939249673
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 04/15/2025,,,,
